Time,Latitude(deg),Longitude(deg),Altitude(km),Vel(km/s),Vel_x,Vel_y,Vel_z,Total Radiated Energy(J),Calculated Total Impact Energy(kt),Infra_energy (kT),Mass (kg),Diameter (rho = 1500 kgm-3),Lat Hemi,Long Hemi,Latitude Numerical,Longitude Numerical,Speed,Zenith Distance,Radiant azimuth,Vn,Ve,Vd,Comments,Column1,Column2,q_per,d_q_per,q_aph,a,d_a,e,d_e,incl,d_incl,omega,d_omega,asc_node,d_asc_node,v_g,d_v_g,v_h,d_v_h,alp_g,d_alp_g,del_g,d_del_g,T_j,Column53,Column54,Column55,Column56,Column57
2013-02-15 3:20,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,3.75E+14,440,,10632443.06,24.19630134,N,E,54.8,61.1,18.61424186,74.07574403,99.8959271,3.076264493,-17.63360164,5.107121485,,,1,0.7525696,0.0162563,2.672748,1.7126588,0.1480827,0.560584,0.044715,4.1016383,1.0004695,109.7097707,1.810218,326.4126028,0.0028607,14.568478,1.1728801,35.7517059,0.6263566,334.5602323,1.3126442,-0.6468065,1.5457313,3.580297992,,,,,
2018-12-18 23:48,56.9N,172.4E,26,13.6,6.3,-3,-31.2,3.13E+13,49,,2214749.135,14.34395299,N,E,56.9,172.4,31.9707679,21.4139892,349.4338055,-11.47473342,2.140431362,29.76372031,,,1,0.9500375,0.0054469,6.9311244,3.9405809,1.6540324,0.7589093,0.1008577,47.7185353,1.9471634,203.0398217,2.2575879,266.7488527,0.0001499,29.9752048,1.7059319,39.726318,1.1893192,235.6006427,4.9304448,77.9154973,1.034555,1.983619505,,,,,
2010-12-25 23:24,38.0N,158.0E,26,18.1,18,-2,-4,2.00E+13,33,,842098.837,10.3919176,N,E,38,158,18.54723699,29.11061416,147.1953125,7.584183517,-4.888550974,16.20438921,,,1,0.6084117,0.0211547,1.38754,0.9979759,0.025074,0.3903543,0.0269081,16.4631195,1.6472227,69.0014237,2.6843819,273.9050795,0.0004846,14.6936222,1.164701,30.2501451,0.3691571,259.0804685,1.1448399,9.5401143,1.1860615,5.549444636,,,,,
2009-10-08 2:57,4.2S,120.6E,19.1,19.2,14,-16,-6,2.00E+13,33,,748372.3958,9.991153545,S,E,-4.2,120.6,22.09072203,22.54243122,27.46369193,-7.514451829,-3.905725727,20.4028998,,,1,0.5367081,0.0225191,1.8230335,1.1798708,0.0612259,0.5451128,0.0351854,14.1778537,1.1547549,71.8264306,2.4392099,194.833356,0.0001424,18.972949,1.2815832,31.9976299,0.6096834,191.641856,1.1335532,17.3634169,1.0936013,4.776120581,,,,,
1994-02-01 22:38,2.7N,164.1E,21,24,,,,1.80E+13,30,,435416.6667,8.341021423,N,E,2.7,164.1,24,44.5,119.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30 8:40,35.5N,30.7W,21.2,12.1,1,9,-8,5.11E+12,10,,570999.2487,9.12974838,N,W,35.5,-30.7,12.08304597,50.49624884,297.7709815,-4.34397887,8.249213362,7.686372778,,,1,0.9411995,0.0203983,1.1921949,1.0666972,0.011251,0.1176507,0.0244777,7.172499,2.4364727,247.8982141,5.7287479,39.991095,0.0034065,5.2641976,1.4169876,30.4899219,0.1438501,226.3610718,5.1526731,31.0089352,2.8883441,5.279091346,,,,,
2010-07-06 23:54,34.1S,174.5W,26,15.7,12.1,10,0.2,7.56E+12,14,,474826.565,8.585415185,S,W,-34.1,-174.5,15.69872606,46.13207803,50.98893786,-7.124237475,-8.794228377,10.87919058,,,1,0.9583426,0.0066935,4.1342772,2.5463099,0.4758613,0.6236347,0.0724709,2.0019214,0.6301188,328.3073121,1.1372037,284.6128628,0.0116184,10.7331047,1.1325513,37.372436,0.8710852,147.1645526,1.4436817,5.9771647,1.5425791,2.807277117,,,,,
2006-12-09 6:31,26.2N,26.0E,26.5,15.9,4.9,-15,1.6,7.41E+12,14,,462956.3704,8.51327549,N,E,26.2,26,15.86095836,85.50895179,98.70937591,2.39433292,-15.62992931,1.241965987,,,1,0.9359752,0.0102356,4.3207235,2.6283494,0.4079027,0.6438924,0.0587339,1.7218838,0.7030092,150.8572257,2.4141463,256.9132512,0.0114242,10.6805913,1.1470321,38.2613419,0.6845187,300.975711,2.9601671,-14.2014455,1.548399,2.751537338,,,,,
1988-04-15 03:03:10,4.1S,124.3E,,,,,,,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-03 12:07:22,67.7S,18.2E,31.5,,,,,,13,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
