# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
4.00000e-02,1.79500e+02,6.08000e-01,1.52000e+01,1.79500e+02,6.08000e-01,1.52000e+01,9.51501e-08,1.79500e+02,6.08000e-01,1.52000e+01,9.51501e-08,5.08884e-02,5.08884e-02,0.00000e+00,-1.66548e+00,-1.66548e+00,inf,4.14763e+00,4.14763e+00,-inf,1.55784e+01,2.79000e+06,2.79000e+06
8.00000e-02,1.79001e+02,1.21600e+00,1.52000e+01,1.79001e+02,1.21600e+00,1.52000e+01,1.00961e-07,1.79001e+02,1.21600e+00,1.52000e+01,1.00961e-07,5.08884e-02,5.08884e-02,0.00000e+00,-1.72984e+00,-1.72984e+00,inf,4.17338e+00,4.17338e+00,-inf,1.56041e+01,2.79000e+06,2.79000e+06
1.20000e-01,1.78501e+02,1.82400e+00,1.52000e+01,1.78501e+02,1.82400e+00,1.52000e+01,1.06878e-07,1.78501e+02,1.82400e+00,1.52000e+01,1.06878e-07,5.08884e-02,5.08884e-02,0.00000e+00,-1.79167e+00,-1.79167e+00,inf,4.19811e+00,4.19811e+00,-inf,1.56288e+01,2.79000e+06,2.79000e+06
1.60000e-01,1.78002e+02,2.43200e+00,1.52000e+01,1.78002e+02,2.43200e+00,1.52000e+01,1.12886e-07,1.78002e+02,2.43200e+00,1.52000e+01,1.12886e-07,5.08884e-02,5.08884e-02,0.00000e+00,-1.85106e+00,-1.85106e+00,inf,4.22186e+00,4.22186e+00,-inf,1.56526e+01,2.79000e+06,2.79000e+06
2.00000e-01,1.77502e+02,3.04000e+00,1.52000e+01,1.77502e+02,3.04000e+00,1.52000e+01,1.18972e-07,1.77502e+02,3.04000e+00,1.52000e+01,1.18972e-07,5.08884e-02,5.08884e-02,0.00000e+00,-1.90807e+00,-1.90807e+00,inf,4.24467e+00,4.24467e+00,-inf,1.56754e+01,2.79000e+06,2.79000e+06
2.40000e-01,1.77003e+02,3.64800e+00,1.52000e+01,1.77003e+02,3.64800e+00,1.52000e+01,1.25122e-07,1.77003e+02,3.64800e+00,1.52000e+01,1.25122e-07,5.08884e-02,5.08884e-02,0.00000e+00,-1.96279e+00,-1.96279e+00,inf,4.26656e+00,4.26656e+00,-inf,1.56973e+01,2.79000e+06,2.79000e+06
2.80000e-01,1.76504e+02,4.25600e+00,1.52000e+01,1.76504e+02,4.25600e+00,1.52000e+01,1.31321e-07,1.76504e+02,4.25600e+00,1.52000e+01,1.31321e-07,5.08884e-02,5.08884e-02,0.00000e+00,-2.01529e+00,-2.01529e+00,inf,4.28756e+00,4.28756e+00,-inf,1.57183e+01,2.79000e+06,2.79000e+06
3.20000e-01,1.76004e+02,4.86400e+00,1.52000e+01,1.76004e+02,4.86400e+00,1.52000e+01,1.37558e-07,1.76004e+02,4.86400e+00,1.52000e+01,1.37558e-07,5.08884e-02,5.08884e-02,0.00000e+00,-2.06567e+00,-2.06567e+00,inf,4.30771e+00,4.30771e+00,-inf,1.57384e+01,2.79000e+06,2.79000e+06
3.60000e-01,1.75505e+02,5.47200e+00,1.52000e+01,1.75505e+02,5.47200e+00,1.52000e+01,1.43817e-07,1.75505e+02,5.47200e+00,1.52000e+01,1.43817e-07,5.08884e-02,5.08884e-02,0.00000e+00,-2.11398e+00,-2.11398e+00,inf,4.32703e+00,4.32703e+00,-inf,1.57578e+01,2.79000e+06,2.79000e+06
4.00000e-01,1.75005e+02,6.08000e+00,1.52000e+01,1.75005e+02,6.08000e+00,1.52000e+01,1.50087e-07,1.75005e+02,6.08000e+00,1.52000e+01,1.50087e-07,5.08884e-02,5.08884e-02,0.00000e+00,-2.16031e+00,-2.16031e+00,inf,4.34557e+00,4.34557e+00,-inf,1.57763e+01,2.79000e+06,2.79000e+06
